# GAGE ( ANALOG network for IDs where YEAR <  2000)
# GAGE (DIGITAL network for IDs where YEAR >= 2000)
# MONTH for which rainfall is being aggregated
# S (season): W (wet, Jun-Oct) or D (dry)
# RAIN: total monthly rainfall in millimeters
gage,year,month,S,rain
RG001,1973,2,D,35.56
RG001,1973,3,D,52.58
RG001,1973,4,D,0.25
RG001,1973,5,D,2.79
RG001,1973,6,W,12.95
RG001,1973,7,W,130.3
RG001,1973,8,W,25.4
RG001,1973,9,W,4.06
RG001,1973,11,D,2.29
RG001,1974,1,D,20.57
RG001,1974,2,D,0.0
RG001,1974,3,D,8.13
RG001,1974,5,D,1.02
RG001,1974,6,W,3.3
RG001,1974,7,W,114.55
RG001,1974,8,W,52.32
RG001,1974,9,W,62.74
RG001,1974,10,W,22.35
RG001,1974,11,D,0.76
RG001,1974,12,D,3.3
RG001,1975,1,D,11.94
RG001,1975,2,D,1.27
RG001,1975,3,D,10.92
RG001,1975,4,D,4.57
RG001,1975,5,D,0.51
RG001,1975,6,W,0.25
RG001,1975,7,W,70.1
RG001,1975,8,W,13.46
RG001,1975,9,W,56.64
RG001,1975,10,W,0.0
RG001,1975,11,D,8.89
RG001,1975,12,D,5.59
RG001,1976,1,D,3.3
RG001,1976,2,D,15.75
RG001,1976,3,D,6.35
RG001,1976,4,D,9.14
RG001,1976,5,D,12.7
RG001,1976,6,W,14.22
RG001,1976,7,W,83.31
RG001,1976,8,W,30.73
RG001,1976,9,W,44.7
RG001,1976,10,W,16.26
RG001,1976,11,D,8.64
RG001,1976,12,D,1.52
RG001,1977,1,D,36.83
RG001,1977,6,W,1.78
RG001,1977,7,W,52.32
RG001,1977,8,W,69.34
RG001,1977,9,W,92.46
RG001,1977,10,W,70.61
RG001,1978,1,D,43.94
RG001,1978,2,D,49.53
RG001,1978,3,D,16.0
RG001,1978,4,D,1.27
RG001,1978,5,D,7.37
RG001,1978,6,W,7.37
RG001,1978,7,W,53.85
RG001,1978,8,W,43.69
RG001,1978,9,W,30.99
RG001,1978,10,W,53.59
RG001,1978,11,D,27.18
RG001,1978,12,D,52.58
RG001,1979,1,D,53.34
RG001,1979,2,D,6.86
RG001,1979,3,D,19.81
RG001,1979,4,D,0.51
RG001,1979,5,D,7.11
RG001,1979,6,W,21.34
RG001,1979,7,W,54.1
RG001,1979,8,W,38.1
RG001,1979,9,W,5.08
RG001,1979,10,W,2.03
RG001,1979,11,D,3.81
RG001,1979,12,D,5.08
RG001,1980,1,D,0.0
RG001,1980,2,D,0.0
RG001,1980,3,D,0.0
RG001,1980,4,D,0.0
RG001,1980,5,D,0.0
RG001,1980,6,W,4.06
RG001,1980,7,W,80.77
RG001,1980,8,W,78.74
RG001,1980,9,W,34.04
RG001,1980,10,W,0.76
RG001,1980,11,D,6.35
RG001,1980,12,D,6.6
RG001,1981,1,D,0.0
RG001,1981,2,D,0.0
RG001,1981,3,D,0.0
RG001,1981,4,D,0.0
RG001,1981,5,D,0.0
RG001,1981,6,W,16.26
RG001,1981,7,W,136.14
RG001,1981,8,W,31.75
RG001,1981,9,W,17.53
RG001,1981,10,W,6.6
RG001,1981,11,D,3.56
