nmix,nf,mu,kappa,alpha,muRAD
mix1,f1,17.5157285192956,1.05437076979231,1,4.58560700320769
mix2,f1,18.6249781189037,0.952427784549265,0.825814533453194,4.87600786930153
mix2,f2,14.9203564141546,7.17129789913715,0.174185466546806,3.90614017497079
mix3,f1,14.6420235819992,6.39091201120178,0.249156475242312,3.83327280990811
mix3,f2,18.521648359282,3.06431018164439,0.324520271490722,4.84895620149114
mix3,f3,21.7680678883869,0.46999428118117,0.426323253266966,5.69886684675002
mix4,f1,18.7061548914839,2.99050477820029,0.399951762210873,4.89725989866654
mix4,f2,14.6834422355149,5.65681437814774,0.298567596554821,3.84411618804198
mix4,f3,23.9465014849296,1.22429084644249,0.216750511159516,6.26917942868599
mix4,f4,8.43460415067052,1.1146025586591,0.0847301300747902,2.20817420297371
mix5,f1,15.0517935929521,3.74158508579999,0.46674328424056,3.94055034791403
mix5,f2,3.31579681696396,4.6405858956677,0.0825016956478434,0.868073576747533
mix5,f3,19.0519144791409,5.93023876398009,0.239974698187482,4.98777954704084
mix5,f4,22.4794225123194,3.78128959839717,0.168341907102471,5.88509905180363
mix5,f5,8.05905265612683,8.43542872952547,0.0424384148216439,2.10985505161511
mix6,f1,3.31752365872387,4.08442300503602,0.0844808606980881,0.868525662863103
mix6,f2,14.4376109931343,3.76251345282258,0.294635824430455,3.77975771928483
mix6,f3,8.05421340458654,10.0050500796175,0.0378854876459687,2.10858813852446
mix6,f4,15.5143546532083,7.41028604169554,0.137254822066218,4.06164855030881
mix6,f5,21.8152692051764,2.93088671458867,0.227385425856743,5.71122412258881
mix6,f6,18.7201175636438,6.75672604634712,0.218357579302527,4.90091531769006
mix7,f1,7.90754368763097,9.9731421110799,0.0334641167459138,2.07019009641682
mix7,f2,3.74060576277699,8.53945733682489,0.0402085093383136,0.979288298692987
mix7,f3,14.9400108824556,4.39295526975218,0.355700580330553,3.9112857027395
mix7,f4,22.518145221058,2.11260315047783,0.175513165072773,5.89523663324532
mix7,f5,18.7159645939482,1.04868814005707,0.121637633090678,4.89982807276619
mix7,f6,18.9791090500999,6.6306827961132,0.154152926380729,4.96871913028946
mix7,f7,17.7956909205403,1.2654135828319,0.119323069041039,4.65890098846033
mix8,f1,3.34737978569597,4.43979374857831,0.0791551337168481,0.876341978626452
mix8,f2,19.0558235260572,11.3438050275174,0.0992240826415141,4.98880293313039
mix8,f3,20.8463215869547,2.75113389256124,0.122113441964392,5.45755422932892
mix8,f4,22.2737787706351,3.05615328679369,0.121966551306283,5.83126164612596
mix8,f5,8.00205653887103,10.3177818353852,0.035849978568595,2.09493350301062
mix8,f6,16.2043185203904,2.07898721547212,0.116660267673703,4.24228066834063
mix8,f7,15.0144623243696,4.0404845323902,0.299568427449635,3.93077704465334
mix8,f8,16.0060061399969,2.35063347384292,0.12546211667903,4.19036260856062
mix9,f1,18.9949795223544,10.6886558820454,0.0944001041752554,4.97287401020975
mix9,f2,11.8426350108367,1.95710646342006,0.0479803673426664,3.10039459576582
mix9,f3,14.7285862643286,5.00797227966203,0.245425649116838,3.85593486714818
mix9,f4,22.8514207230232,2.49222760001608,0.152814977858068,5.98248795562827
mix9,f5,7.85135713117671,12.2516202689226,0.030277542850991,2.05548049033455
mix9,f6,16.252742993332,3.51221711374444,0.123502369575677,4.25495816571124
mix9,f7,16.5938473932474,3.03533824296255,0.112619741523751,4.34425908878469
mix9,f8,3.62230465948512,5.73361310138943,0.0606485479601121,0.948317142275211
mix9,f9,20.4116880253237,3.46056765184096,0.132330699596641,5.34376742897697
